Epoch,Train Loss,Train Acc,Val Loss,Val Acc
0,7.449361602465312,,,
1,7.057218124469121,,,
2,6.915976603825887,,,
3,6.8260926604270935,,,
4,6.765017817417781,,,
5,6.712255090475082,,,
6,6.671680301427841,,,
7,6.647798538208008,,,
8,6.6261755128701525,,,
9,6.607663740714391,,,
10,6.580260515213013,,,
11,6.556979318459828,,,
12,6.536029110352199,,,
13,6.517542173465093,,,
14,6.505061368147532,,,
15,6.491336524486542,,,
16,6.485559066136678,,,
17,6.469120552142461,,,
18,6.461584011713664,,,
19,6.451881418625514,,,
20,6.444202244281769,,,
21,6.437641868988673,,,
22,6.4380983710289,,,
23,6.428818732500076,,,
24,6.418662011623383,,,
25,6.414882808923721,,,
26,6.405447522799174,,,
27,6.405261884133021,,,
28,6.395979116360347,,,
29,6.392193545897801,,,
30,6.385166178146998,,,
31,6.3830556472142534,,,
32,6.376744012037913,,,
33,6.374457210302353,,,
34,6.365290472904841,,,
35,6.364365408817927,,,
36,6.360391904910405,,,
37,6.35700261592865,,,
38,6.3517642716566725,,,
39,6.350496798753738,,,
40,6.344497839609782,,,
41,6.344250639279683,,,
42,6.339021096626918,,,
43,6.339329719543457,,,
44,6.3338834544022875,,,
45,6.3300934334595995,,,
46,6.3339647849400835,,,
47,6.326689422130585,,,
48,6.329779585202535,,,
49,6.324815859397252,,,
50,6.322508166233699,,,
51,6.321544647216797,,,
52,6.319825172424316,,,
53,6.32196048895518,,,
54,6.31887690226237,,,
55,6.3182144065697985,,,
56,6.322480956713359,,,
57,6.318085799614589,,,
58,6.314168433348338,,,
59,6.318149189154307,,,
60,6.31922647356987,,,
61,6.317925234635671,,,
62,6.31695352991422,,,
63,6.320296068986257,,,
64,6.316085308790207,,,
65,6.318410903215408,,,
66,6.317866792281468,,,
67,6.317505290110906,,,
68,6.320026298364003,,,
69,6.320376425981522,,,
70,6.315613667170207,,,
71,6.318205694357554,,,
72,6.317787657181422,,,
73,6.320352603991826,,,
74,6.316588461399078,,,
75,6.32036092877388,,,
76,6.318732380867004,,,
77,6.318513373533885,,,
78,6.316087553898494,,,
79,6.319280117750168,,,
80,6.317375262578328,,,
81,6.3162920872370405,,,
82,6.312487403551738,,,
83,6.31381310025851,,,
84,6.310967296361923,,,
85,6.308838337659836,,,
86,6.305284112691879,,,
87,6.305925299723943,,,
88,6.302048484484355,,,
89,6.303571591774623,,,
90,6.298273553450902,,,
91,6.29762218395869,,,
92,6.296515077352524,,,
93,6.2898364663124084,,,
94,6.285792698462804,,,
95,6.284859756628673,,,
96,6.28261524438858,,,
97,6.277062346537908,,,
98,6.2748971084753675,,,
99,6.2718076805273695,,,
100,6.274864623943965,,,
101,6.268702169259389,,,
102,6.2662012080351515,,,
103,6.262186457713445,,,
104,6.2598116000493365,,,
105,6.254824320475261,,,
106,6.255341827869415,,,
107,6.2498525977134705,,,
108,6.248200794061025,,,
109,6.243450194597244,,,
110,6.241613696018855,,,
111,6.240445325771968,,,
112,6.232145418723424,,,
113,6.23148434360822,,,
114,6.228709677855174,,,
115,6.23072737455368,,,
116,6.226457238197327,,,
