Epoch,Train Loss,Train Acc,Val Loss,Val Acc
0,1.7801248924854474,0.54064,0.998335011397736,0.702
1,0.7655722587536543,0.76708,0.8363124796106846,0.7484
2,0.533390157803511,0.83322,0.7870245025127749,0.7655
3,0.38263143308651754,0.8787,0.8076517404634741,0.774
4,0.2789388344073907,0.9106,0.8048606439481808,0.7797
5,0.20728546596872502,0.93204,0.8246784885472889,0.7833
6,0.1564690355498057,0.9483,0.8596859917610506,0.7794
7,0.12666718477431016,0.95782,0.881361338156688,0.7837
8,0.11484696929080364,0.96256,0.9103712507441074,0.7847
9,0.10106540583074093,0.9662,0.9980160526082485,0.776
10,0.08915661516097875,0.97046,0.9567181181304062,0.7811
11,0.08028602031274484,0.97286,0.9840930377758002,0.7848
12,0.07640086374699305,0.97482,1.0216698359839524,0.7834
13,0.06783261969924355,0.97708,1.0491933596285083,0.7762
14,0.0652495195539907,0.97748,1.0693886408322975,0.7775
15,0.06428737665216128,0.97826,1.1045652831657022,0.7748
16,0.06901646371787558,0.97612,1.056790988656539,0.7836
17,0.05313385859943735,0.98142,1.1001077845126768,0.7829
18,0.056186974430695556,0.9802,1.1287780117384996,0.7792
19,0.056052231497298446,0.98022,1.1177577444269686,0.7834
